,artist,song,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1154,sammy hagar,your love is driving me crazy,spotify:track:3OghNV9ZOUbAj62CZptOEP,0.586,0.574,4,-10.83,1,0.0312,0.135,0,0.169,0.739,146.738,211227,4
1155,38 special,chain lightnin',spotify:track:7j9PEQdO46RhXWpEUWwIlZ,0.427,0.67,2,-10.469,0,0.0344,0.0122,0.00024,0.0876,0.551,81.045,306200,4
1156,dire straits,industrial disease,spotify:track:1laOaJ0vcBx3cjUhH50mW7,0.608,0.844,9,-9.164,1,0.0477,0.00281,0.00107,0.116,0.722,149.63,350373,4
1157,donnie iris,love is like a rock,spotify:track:6GMyxGEdbHl2Wj8s32LWC6,0.677,0.93,9,-10.564,1,0.041,0.00814,0.000235,0.326,0.383,110.559,207640,4
1158,april wine,enough is enough,spotify:track:6FK4qvDHaFxbCl5zRRWX2O,0.57,0.931,0,-4.481,1,0.0569,0.377,0.000849,0.0649,0.731,138.879,245600,4
1159,asia,sole survivor,spotify:track:63UeOapFmkJv0NEKGQQTJp,0.424,0.948,0,-7.232,1,0.0803,0.0818,7.32e-06,0.0273,0.318,124.292,287773,4
1160,supertramp,crazy,spotify:track:5ZaouisGm3mMGXlY1SQ4FN,0.419,0.556,5,-7.798,1,0.0272,0.436,2.17e-06,0.289,0.479,104.439,284533,4
1161,robert plant,worse than detroit,spotify:track:3Lj5lR5DUoLvxYVrXgZa68,0.323,0.848,9,-5.111,1,0.059,0.324,0.00102,0.369,0.352,95.007,358493,4
1162,genesis,paperlate,spotify:track:2GHCxqFK2xl4b0JRTl3v8s,0.617,0.958,7,-4.495,1,0.0615,0.107,0.000146,0.376,0.774,121.817,203493,4
1163,gamma,right the first time,spotify:track:79lDwxky82NLcqLGxHIag7,0.632,0.653,9,-6.164,1,0.0291,0.0142,4.61e-06,0.133,0.86,137.207,227587,4
1164,bruce springsteen,atlantic city,spotify:track:1Vp8U39YNsDfd6yVuaUq12,0.475,0.429,4,-10.577,1,0.0367,0.311,0,0.376,0.34,108.034,236653,4
1165,gary u.s. bonds,out of work,spotify:track:023ANytNFEk7vglingnI4p,0.748,0.791,11,-6.845,0,0.033,0.0626,1.29e-06,0.205,0.983,116.899,174040,4
1166,robert plant,pledge pin,spotify:track:0wAOWZk7n7UGc6LiJmqR2W,0.445,0.887,9,-7.077,0,0.148,0.102,0.0579,0.0862,0.644,157.225,242107,4
1167,the who,athena,spotify:track:255k7GWdOau9yOsewX85lg,0.609,0.754,2,-10.82,1,0.034,0.431,0.000902,0.112,0.57,123.208,227600,4
1168,cheap trick,if you want my love,spotify:track:4y3clu5ma91RfOLO5YYOIA,0.494,0.683,4,-9.509,1,0.0323,0.0213,0,0.288,0.474,115.441,215720,4
1169,the plimsouls,a million miles away,spotify:track:3YryVYJcJ9gP8jfUkkbNvm,0.396,0.792,4,-10.182,0,0.0399,0.0209,8.2e-06,0.105,0.694,155.193,215200,4
1170,pat benatar,shadows of the night,spotify:track:6pwQEpLOlwclrsjgEOHEp0,0.522,0.682,6,-10.183,1,0.0344,0.29,1.23e-05,0.339,0.529,111.902,261560,4
1171,quarterflash,find another fool,spotify:track:1kWIbNb9gqmYBb9anvWkOA,0.522,0.52,7,-13.339,1,0.0545,0.00964,3.46e-06,0.0432,0.702,77.757,274933,4
1172,saga,on the loose,spotify:track:1gRqRvIyDWIkEuczfC4krI,0.589,0.913,10,-5.913,1,0.0365,0.1,0.00139,0.153,0.684,134.898,252821,4
1173,sammy hagar,i'll fall in love again,spotify:track:5y9gFWBjJBLsVsVoj92Oee,0.63,0.654,2,-12.178,1,0.0311,0.0914,2.11e-05,0.044,0.775,122.356,254600,4
1174,bob seger,shame on the moon,spotify:track:1Gxaks4MTbjMCAQ20rx4Iy,0.615,0.563,9,-7.585,1,0.0254,0.283,0.00118,0.117,0.547,105.772,295053,4
1175,707,mega force,spotify:track:3LQwO6kRKpAUxHunIJHDAh,0.419,0.875,9,-6.584,1,0.0732,0.0124,0.00115,0.211,0.726,140.783,241333,4
1176,foghat,"slipped, tripped, fell in love",spotify:track:0Rv8DGauUeQtnXBiWR2gJ0,0.601,0.817,9,-8.948,0,0.0324,0.006,0.00145,0.311,0.762,127.283,257680,4
1177,frank zappa,valley girl,spotify:track:2aNLe4KxMByyqjhmVvR3or,0.474,0.862,0,-10.511,1,0.106,0.041,0,0.42,0.627,143.856,290533,4
1178,jackson browne,somebody's baby,spotify:track:4SlCb8n5Jw52astU7GWPyV,0.741,0.742,2,-7.822,1,0.0269,0.146,1.64e-05,0.106,0.889,116.951,262733,4
1179,santana,nowhere to run,spotify:track:18hEUtGndAT0vzSTHCKFt4,0.485,0.527,4,-15.904,0,0.0362,0.028,0.0334,0.302,0.622,139.029,244227,4
1180,aldo nova,fantasy,spotify:track:1zrba5qe6xkC84AlbXNa6u,0.515,0.878,0,-6.808,1,0.0707,4.7e-05,0.000349,0.138,0.371,131.268,303293,4
1181,john hall band,crazy (keep on falling),spotify:track:6iLzfMb6os3GI2md2Mpy4b,0.645,0.801,1,-7.423,0,0.0275,0.176,0,0.191,0.702,122.944,272133,4
1182,charlie daniels band,still in saigon,spotify:track:04JxDXEJRDypv0mT9mxEHC,0.565,0.6,8,-11.635,1,0.0496,0.0525,0,0.122,0.864,148.536,231373,4
1183,bad company,electricland,spotify:track:6zBFaST5m1DJdvOaluVlgZ,0.53,0.678,1,-7.643,0,0.0284,0.2,0.142,0.121,0.703,111.005,326933,4
1184,the go-go's,vacation,spotify:track:0oc7YoWV783fGr2GbdcIrz,0.5,0.823,4,-8.64,1,0.0264,0.0875,0,0.316,0.88,156.79,179827,4
1185,steve winwood,valerie (1982 version),spotify:track:1iKX0PCtUcinODKTP8g76l,0.612,0.456,9,-11.633,1,0.0319,0.024,0.817,0.09,0.375,115.198,247855,4
1186,fleetwood mac,gypsy,spotify:track:19Ym5Sg0YyOCa6ao21bdoG,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,264907,4
1187,led zeppelin,ozone baby,spotify:track:22xTwPtwubGTYwTbwAJIeD,0.556,0.878,2,-7.561,1,0.0351,0.033,0.000449,0.24,0.961,141.758,216360,4
1188,genesis,man on the corner,spotify:track:0oZIhxPO45rQkDIMr75gK5,0.696,0.334,6,-11.246,1,0.0328,0.61,0.000355,0.0713,0.362,111.632,267427,4
1189,night ranger,don't tell me you love me,spotify:track:6E6uwOhAEHSzSvDewOBEvF,0.389,0.84,6,-10.015,0,0.0442,0.0393,0.00155,0.085,0.493,176.589,262827,4
1191,pat benatar,looking for a stranger,spotify:track:1iTb1iholOxAcDZKSqODpc,0.536,0.819,0,-11.45,1,0.0469,0.019,0.0236,0.152,0.663,165.205,206573,4
1192,duran duran ,hungry like the wolf,spotify:track:39lSeqnyjZJejRuaREfyLL,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627,4
1193,nena,99 luftballons,spotify:track:4ZhPLoMzZwewHLLjV1J15c,0.575,0.555,4,-7.495,1,0.0453,0.103,1.3e-06,0.111,0.504,95.361,232467,4
1194,cyndi lauper,girls just want to have fun,spotify:track:4y1LsJpmMti1PfRQV9AWWe,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,238267,4
1195,genesis,that's all!,spotify:track:2zFdsAIk9r2Mi7Lmm1w3sM,0.596,0.657,4,-8.784,0,0.0345,0.235,0.0139,0.102,0.774,175.263,264573,4
1196,thompson twins,hold me now,spotify:track:0BJU4rYOfj43xHw6gvTIwE,0.787,0.516,7,-12.792,1,0.0332,0.66,1.1e-05,0.293,0.882,108.19,286667,4
1197,men at work,be good johnny,spotify:track:2ZgKs2gWOv4zMmfGcCgJGP,0.583,0.635,7,-12.788,1,0.0627,0.0743,0.00165,0.0983,0.555,150.144,215400,4
1198,bob seger,even now,spotify:track:00XXUBsdOe8cLPo2p64Dd3,0.475,0.954,4,-3.565,1,0.0532,0.0334,2.34e-05,0.234,0.761,151.942,273187,4
1199,john mellencamp,pink houses,spotify:track:5JKQMoGmXwDHCodn5pFVHB,0.635,0.795,7,-5.313,1,0.0269,0.0514,3.08e-06,0.0751,0.628,115.23,283667,4
1200,the motels,suddenly last summer,spotify:track:08pnzLwZrh8lernK2aRaGz,0.725,0.73,2,-7.072,1,0.0266,0.102,0.0912,0.0931,0.635,120.257,216533,4
1201,huey lewis & the news,heart and soul,spotify:track:3pecdrUzTZjaqrw6iCLTvd,0.66,0.806,2,-8.01,1,0.0324,0.00332,1.4e-05,0.0986,0.944,122.041,253253,4
1202,scandal,goodbye to you,spotify:track:2ARO7celMseIwJvCMS2Mt2,0.492,0.935,9,-6.165,1,0.0703,0.0732,3.8e-06,0.208,0.857,159.446,226493,4
1203,ric ocasek,something to grab for,spotify:track:1p0rQUKbsx0JSz9aHJ8RcN,0.71,0.807,11,-7.819,0,0.0368,0.0636,0.00334,0.0718,0.972,122.428,223467,4
1204,asia,don't cry,spotify:track:3rZLNPadgHyZ2ST4UgrsI1,0.363,0.867,0,-8.635,1,0.0563,0.2,1.15e-06,0.134,0.491,147.93,210400,4
1205,heart,how can i refuse,spotify:track:2EPOoZCvCYGfl5HqhXLpn6,0.664,0.569,4,-10.427,1,0.0325,0.0182,1.41e-05,0.0951,0.705,132.593,232067,4
1206,asia,the heat goes on,spotify:track:7vVnb8HK2J3eiPOYsd7cG3,0.26,0.852,0,-9.043,0,0.0474,0.0222,6.65e-05,0.642,0.377,142.758,296333,4
1207,38 special,if i'd been the one,spotify:track:6XomFpGnHv0hYgUoW75dOw,0.567,0.761,7,-11.78,1,0.0279,0.00486,3.43e-05,0.0547,0.797,142.941,235640,4
1208,sammy hagar,remember the heroes,spotify:track:71Ezs8lmP2PHuo7BPpEz3t,0.545,0.483,6,-11.161,0,0.0337,0.0177,0.00123,0.362,0.514,126.819,360507,4
